Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 99 Step 21: Training Loss 0.03431783989071846, Return 11.0
Episode 100 Step 11: Training Loss 0.03514924272894859, Return 10.0
Episode 101 Step 12: Training Loss 0.03750834986567497, Return 12.0
Episode 102 Step 11: Training Loss 0.03506549820303917, Return 11.0
Episode 103 Step 16: Training Loss 0.03624691814184189, Return 9.0
Episode 104 Step 11: Training Loss 0.033291880041360855, Return 11.0
Episode 105 Step 14: Training Loss 0.03795728087425232, Return 11.0
Episode 106 Step 20: Training Loss 0.0363582968711853, Return 11.0
Episode 107 Step 11: Training Loss 0.03651120513677597, Return 11.0
Episode 108 Step 12: Training Loss 0.039056047797203064, Return 11.0
Episode 109 Step 11: Training Loss 0.0339006669819355, Return 10.0
Episode 110 Step 11: Training Loss 0.04472823068499565, Return 10.0
Episode 111 Step 13: Training Loss 0.0407366082072258, Return 10.0
Episode 112 Step 14: Training Loss 0.039450760930776596, Return 11.0
Episode 113 Step 16: Training Loss 0.043914277106523514, Return 11.0
Episode 114 Step 12: Training Loss 0.041849806904792786, Return 13.0
Episode 115 Step 16: Training Loss 0.047627054154872894, Return 12.0
Episode 116 Step 15: Training Loss 0.04395056515932083, Return 11.0
Episode 117 Step 11: Training Loss 0.04459673538804054, Return 12.0
Episode 118 Step 12: Training Loss 0.045169781893491745, Return 11.0
Episode 119 Step 13: Training Loss 0.04503019154071808, Return 9.0
Episode 120 Step 11: Training Loss 0.04474947229027748, Return 14.0
Episode 121 Step 20: Training Loss 0.046496350318193436, Return 13.0
Episode 122 Step 14: Training Loss 0.048212938010692596, Return 14.0
Episode 123 Step 12: Training Loss 0.04959823191165924, Return 13.0
Episode 124 Step 13: Training Loss 0.050468385219573975, Return 13.0
Episode 125 Step 11: Training Loss 0.04558683559298515, Return 15.0
Episode 126 Step 18: Training Loss 0.04227374121546745, Return 10.0
Episode 127 Step 17: Training Loss 0.05358641594648361, Return 11.0
Episode 128 Step 12: Training Loss 0.05622684583067894, Return 14.0
Episode 129 Step 15: Training Loss 0.05175767466425896, Return 13.0
Episode 130 Step 20: Training Loss 0.05132370442152023, Return 13.0
Episode 131 Step 17: Training Loss 0.054840587079524994, Return 12.0
Episode 132 Step 13: Training Loss 0.054623134434223175, Return 10.0
Episode 133 Step 14: Training Loss 0.0642828568816185, Return 13.0
Episode 134 Step 11: Training Loss 0.0574532151222229, Return 14.0
Episode 135 Step 13: Training Loss 0.05743541568517685, Return 12.0
Episode 136 Step 14: Training Loss 0.05616036057472229, Return 10.0
Episode 137 Step 10: Training Loss 0.06093250587582588, Return 15.0
Episode 138 Step 15: Training Loss 0.05683542788028717, Return 15.0
Episode 139 Step 16: Training Loss 0.062184516340494156, Return 12.0
Episode 140 Step 18: Training Loss 0.05784665048122406, Return 15.0
Episode 141 Step 12: Training Loss 0.06110889092087746, Return 11.0
Episode 142 Step 12: Training Loss 0.05405436456203461, Return 11.0
Episode 143 Step 12: Training Loss 0.05943649634718895, Return 12.0
Episode 144 Step 13: Training Loss 0.05772833153605461, Return 15.0
Episode 145 Step 12: Training Loss 0.052707239985466, Return 13.0
Episode 146 Step 43: Training Loss 0.0634402260184288, Return 16.0
Episode 147 Step 15: Training Loss 0.06156253442168236, Return 12.0
Episode 148 Step 13: Training Loss 0.06116999685764313, Return 13.0
Episode 149 Step 12: Training Loss 0.06099824979901314, Return 12.0
Episode 150 Step 15: Training Loss 0.07330870628356934, Return 12.0
Episode 151 Step 11: Training Loss 0.057133618742227554, Return 11.0
Episode 152 Step 11: Training Loss 0.07005489617586136, Return 13.0
Episode 153 Step 12: Training Loss 0.07270733267068863, Return 15.0
Episode 154 Step 14: Training Loss 0.054941434413194656, Return 10.0
Episode 155 Step 14: Training Loss 0.07108215987682343, Return 17.0
Episode 156 Step 14: Training Loss 0.06233885511755943, Return 12.0
Episode 157 Step 11: Training Loss 0.0731271356344223, Return 12.0
Episode 158 Step 14: Training Loss 0.07538045197725296, Return 12.0
Episode 159 Step 13: Training Loss 0.06749382615089417, Return 11.0
Episode 160 Step 13: Training Loss 0.07135568559169769, Return 11.0
Episode 161 Step 13: Training Loss 0.07716846466064453, Return 13.0
Episode 162 Step 14: Training Loss 0.0818527564406395, Return 14.0
Episode 163 Step 20: Training Loss 0.07418549805879593, Return 14.0
Episode 164 Step 14: Training Loss 0.07300951331853867, Return 14.0
Episode 165 Step 14: Training Loss 0.08019386976957321, Return 14.0
Episode 166 Step 10: Training Loss 0.06907166540622711, Return 13.0
Episode 167 Step 19: Training Loss 0.06906688958406448, Return 12.0
Episode 168 Step 12: Training Loss 0.07890384644269943, Return 13.0
Episode 169 Step 15: Training Loss 0.07890942692756653, Return 13.0
Episode 170 Step 11: Training Loss 0.0819348394870758, Return 13.0
Episode 171 Step 15: Training Loss 0.07863201946020126, Return 10.0
Episode 172 Step 15: Training Loss 0.06925632804632187, Return 14.0
Episode 173 Step 12: Training Loss 0.09143362194299698, Return 13.0
Episode 174 Step 14: Training Loss 0.07845554500818253, Return 14.0
Episode 175 Step 16: Training Loss 0.07685060054063797, Return 14.0
Episode 176 Step 13: Training Loss 0.08162187784910202, Return 13.0
Episode 177 Step 18: Training Loss 0.07570917159318924, Return 15.0
Episode 178 Step 10: Training Loss 0.08311431109905243, Return 11.0
Episode 179 Step 14: Training Loss 0.08355690538883209, Return 15.0
Episode 180 Step 19: Training Loss 0.08723344653844833, Return 14.0
Episode 181 Step 16: Training Loss 0.08877798914909363, Return 13.0
Episode 182 Step 24: Training Loss 0.08679348975419998, Return 12.0
Episode 183 Step 14: Training Loss 0.08683384209871292, Return 15.0
Episode 184 Step 12: Training Loss 0.07890404015779495, Return 14.0
Episode 185 Step 15: Training Loss 0.08368553966283798, Return 17.0
Episode 186 Step 18: Training Loss 0.0884784609079361, Return 13.0
Episode 187 Step 14: Training Loss 0.09611671417951584, Return 11.0
